Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,Factor
342.2227753446354,253.77707799573582,25.67959978228621,59.41038459380331,35.320313917021004,0.3935560878123191,1,0,True,True,3.0,1.0,1.0,5,0.8
324.9426881876555,245.88128160333022,25.51429542508588,59.41038459380331,35.320313917021004,0.3935560878123191,1,1,True,True,3.0,1.0,1.0,5,0.8500000000000001
311.1982906567474,239.084311178377,25.37820025130143,59.41038494694712,35.320314019845284,0.3935560806027407,1,2,True,True,3.0,1.0,1.0,5,0.9
301.14635820497136,233.86477898272094,25.26843281728211,59.41038494694712,35.320314019845284,0.3935560806027407,1,3,True,True,3.0,1.0,1.0,5,0.95
295.1218812740463,229.51203282602813,25.183483911968406,59.41038494694712,35.320314019845284,0.3935560806027407,1,4,True,True,3.0,1.0,1.0,5,1.0
292.12520494174515,226.28266518938548,25.121120008610266,59.41038459380331,35.320313917021004,0.3935560878123191,1,5,True,True,3.0,1.0,1.0,5,1.05
290.1146240029407,223.99206877237492,25.081895264731262,59.41038459380331,35.320313917021004,0.3935560878123191,1,6,True,True,3.0,1.0,1.0,5,1.1
288.94528438871447,222.85229806617636,25.063751599706496,59.41038494694712,35.320314019845284,0.3935560806027407,1,7,True,True,3.0,1.0,1.0,5,1.15
287.94241496083475,222.84910990761583,25.064968037050395,59.41038494694712,35.320314019845284,0.3935560806027407,1,8,True,True,3.0,1.0,1.0,5,1.2000000000000002
287.13501415946496,224.32856344456417,25.084800399237174,59.41038459380331,35.320313917021004,0.3935560878123191,1,9,True,True,3.0,1.0,1.0,5,1.25
286.4589291132495,226.37808920561858,25.121370320575576,59.41038459380331,35.320313917021004,0.3935560878123191,1,10,True,True,3.0,1.0,1.0,5,1.3
286.2136143277787,228.97099318174216,25.174519617942256,59.41038494694712,35.320314019845284,0.3935560806027407,1,11,True,True,3.0,1.0,1.0,5,1.35
337.5532923526917,251.76007945284871,25.552059897102872,59.01915540347613,35.19836997849943,0.40151689685175274,1,12,True,True,3.0,2.0,1.0,5,0.8
320.871925145939,243.94547981215874,25.38830538497059,59.019155658135695,35.198370152882724,0.40151689168700755,1,13,True,True,3.0,2.0,1.0,5,0.8500000000000001
307.2000832983584,236.9136814455575,25.253946150727575,59.019155658135695,35.198370152882724,0.40151689168700755,1,14,True,True,3.0,2.0,1.0,5,0.9
298.6386260427577,231.3325092078508,25.145544090524098,59.01915540347613,35.19836997849943,0.40151689685175274,1,15,True,True,3.0,2.0,1.0,5,0.95
293.1995818583072,227.1365163985119,25.061640469860258,59.01915540347613,35.19836997849943,0.40151689685175274,1,16,True,True,3.0,2.0,1.0,5,1.0
289.39408088728027,224.11052206875232,25.000258287578877,59.01915540347613,35.19836997849943,0.40151689685175274,1,17,True,True,3.0,2.0,1.0,5,1.05
287.1694976792602,221.8072850036535,24.962197513000852,59.01915540347613,35.19836997849943,0.40151689685175274,1,18,True,True,3.0,2.0,1.0,5,1.1
285.5504738655944,221.01736791999326,24.94524941383406,59.019155658135695,35.198370152882724,0.40151689168700755,1,19,True,True,3.0,2.0,1.0,5,1.15
284.39057482643074,221.54369037653657,24.947267650547605,59.019155658135695,35.198370152882724,0.40151689168700755,1,20,True,True,3.0,2.0,1.0,5,1.2000000000000002
283.8440852551817,223.187113507343,24.96801633161294,59.01915540347613,35.19836997849943,0.40151689685175274,1,21,True,True,3.0,2.0,1.0,5,1.25
283.3109246003636,224.86289141335266,25.005666196356753,59.019155658135695,35.198370152882724,0.40151689168700755,1,22,True,True,3.0,2.0,1.0,5,1.3
283.05617902646105,227.40137267104012,25.059404539765985,59.01915540347613,35.19836997849943,0.40151689685175274,1,23,True,True,3.0,2.0,1.0,5,1.35
347.1846208885041,261.9784883244916,28.139868918827958,64.29051462680984,39.04484039216237,0.28983425940452234,1,24,True,True,3.0,2.0,2.0,5,0.8
330.870323340431,253.17372131578276,27.935327379841212,64.29051462680984,39.04484039216237,0.28983425940452234,1,25,True,True,3.0,2.0,2.0,5,0.8500000000000001
317.94243489473877,246.29486188458907,27.764235775333866,64.29051462680984,39.04484039216237,0.28983425940452234,1,26,True,True,3.0,2.0,2.0,5,0.9
306.9950679591629,240.9857325023145,27.62357530830616,64.29051462680984,39.04484039216237,0.28983425940452234,1,27,True,True,3.0,2.0,2.0,5,0.95
298.23486162404583,236.97891427382183,27.51131568641328,64.29051443619652,39.04484031057172,0.28983426361562714,1,28,True,True,3.0,2.0,2.0,5,1.0
293.5356470603132,234.2895308585804,27.425346653192793,64.29051443619652,39.04484031057172,0.28983426361562714,1,29,True,True,3.0,2.0,2.0,5,1.05
290.7474015876297,232.67836023360135,27.366081622347906,64.29051462680984,39.04484039216237,0.28983425940452234,1,30,True,True,3.0,2.0,2.0,5,1.1
289.2074624639679,231.72771295069947,27.330800648312128,64.29051443619652,39.04484031057172,0.28983426361562714,1,31,True,True,3.0,2.0,2.0,5,1.15
289.4462455427301,231.4778976620113,27.31777592762954,64.29051462680984,39.04484039216237,0.28983425940452234,1,32,True,True,3.0,2.0,2.0,5,1.2000000000000002
290.64580944633747,232.2277266526375,27.325662679504084,64.29051443619652,39.04484031057172,0.28983426361562714,1,33,True,True,3.0,2.0,2.0,5,1.25
292.7224724535007,233.9918492936471,27.3538280996296,64.29051443619652,39.04484031057172,0.28983426361562714,1,34,True,True,3.0,2.0,2.0,5,1.3
296.28433978675486,236.79396233494546,27.40036558170478,64.29051443619652,39.04484031057172,0.28983426361562714,1,35,True,True,3.0,2.0,2.0,5,1.35
337.74223711421985,249.45955841254832,25.501317539241708,58.957931367123166,35.03951400318101,0.40275793616506705,1,36,True,True,7.0,1.0,1.0,5,0.8
322.7086400785341,242.13959542306733,25.332688402989614,58.957931367123166,35.03951400318101,0.40275793616506705,1,37,True,True,7.0,1.0,1.0,5,0.8500000000000001
313.056366670266,236.16673327800007,25.19360686315695,58.957931367123166,35.03951400318101,0.40275793616506705,1,38,True,True,7.0,1.0,1.0,5,0.9
307.5650058994138,230.92991720783672,25.08131631816238,58.957931367123166,35.03951400318101,0.40275793616506705,1,39,True,True,7.0,1.0,1.0,5,0.95
302.93506115304615,226.9976826635763,24.994585248166338,58.95793149189529,35.039514037622965,0.4027579336371915,1,40,True,True,7.0,1.0,1.0,5,1.0
299.5744600816142,224.63150913249754,24.93097393388253,58.95793149189529,35.039514037622965,0.4027579336371915,1,41,True,True,7.0,1.0,1.0,5,1.05
297.0647038627507,223.99242418984178,24.89175392574054,58.957931367123166,35.03951400318101,0.40275793616506705,1,42,True,True,7.0,1.0,1.0,5,1.1
295.1512787361708,224.8889589233135,24.873787898150937,58.95793149189529,35.039514037622965,0.4027579336371915,1,43,True,True,7.0,1.0,1.0,5,1.15
293.61590134261246,226.28732848974028,24.875224611589424,58.95793149189529,35.039514037622965,0.4027579336371915,1,44,True,True,7.0,1.0,1.0,5,1.2000000000000002
292.4426161183272,228.28203785965758,24.895256395729508,58.957931367123166,35.03951400318101,0.40275793616506705,1,45,True,True,7.0,1.0,1.0,5,1.25
291.5609017353801,230.20455666471892,24.93341291211685,58.95793149189529,35.039514037622965,0.4027579336371915,1,46,True,True,7.0,1.0,1.0,5,1.3
291.390597510551,232.67319234522964,24.988131319662862,58.957931367123166,35.03951400318101,0.40275793616506705,1,47,True,True,7.0,1.0,1.0,5,1.35
338.942082294268,249.8135971157976,25.572633335298814,59.12193050491265,35.11081858817276,0.3994307024020243,1,48,True,True,7.0,2.0,1.0,5,0.8
