Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,Factor
794.3022785456203,649.8033318588791,76.33183848840405,142.43543201190604,103.5563724514102,0.8744484404496744,1,0,True,True,3.0,1.0,1.0,5,0.8
751.038450932487,627.1131389371767,75.7831103944998,142.4354301812011,103.5563751479143,0.8744484436770716,1,1,True,True,3.0,1.0,1.0,5,0.8500000000000001
718.4234272731444,607.5246431556528,75.32917441242158,142.4354301812011,103.5563751479143,0.8744484436770716,1,2,True,True,3.0,1.0,1.0,5,0.9
694.9189177323206,592.5127122593519,74.95930768908457,142.43543201190604,103.5563724514102,0.8744484404496744,1,3,True,True,3.0,1.0,1.0,5,0.95
680.0124924225871,580.3496705754047,74.67068205942985,142.43543201190604,103.5563724514102,0.8744484404496744,1,4,True,True,3.0,1.0,1.0,5,1.0
671.0347943731236,571.9847839610361,74.45641525765005,142.43543201190604,103.5563724514102,0.8744484404496744,1,5,True,True,3.0,1.0,1.0,5,1.05
668.5791479533688,567.0488145056786,74.31143793318395,142.43543201190604,103.5563724514102,0.8744484404496744,1,6,True,True,3.0,1.0,1.0,5,1.1
669.080545163838,565.4274297052096,74.23166124976208,142.43543201190604,103.5563724514102,0.8744484404496744,1,7,True,True,3.0,1.0,1.0,5,1.15
672.800362519586,566.1536812234835,74.21236607631924,142.43543201190604,103.5563724514102,0.8744484404496744,1,8,True,True,3.0,1.0,1.0,5,1.2000000000000002
678.0597024167115,570.166613559043,74.2585076131916,142.4354301812011,103.5563751479143,0.8744484436770716,1,9,True,True,3.0,1.0,1.0,5,1.25
687.4876633959037,575.3664309191739,74.35246484770097,142.4354301812011,103.5563751479143,0.8744484436770716,1,10,True,True,3.0,1.0,1.0,5,1.3
700.4183443455662,583.7451372376978,74.49398153691688,142.4354301812011,103.5563751479143,0.8744484436770716,1,11,True,True,3.0,1.0,1.0,5,1.35
805.5006901550584,657.8813687974858,76.76462779108381,143.24284090360592,104.05464045753801,0.8730210040177834,1,12,True,True,3.0,2.0,1.0,5,0.8
761.5181025922188,633.6882260458258,76.21282286744098,143.24284090360592,104.05464045753801,0.8730210040177834,1,13,True,True,3.0,2.0,1.0,5,0.8500000000000001
728.6668917538269,614.3182913908688,75.75554154198515,143.24284090360592,104.05464045753801,0.8730210040177834,1,14,True,True,3.0,2.0,1.0,5,0.9
704.9761604349607,598.5792454523141,75.380935724242,143.24284090360592,104.05464045753801,0.8730210040177834,1,15,True,True,3.0,2.0,1.0,5,0.95
686.9002189794169,585.6752374288876,75.08744814339634,143.24284090360592,104.05464045753801,0.8730210040177834,1,16,True,True,3.0,2.0,1.0,5,1.0
677.246656450161,577.1241442320219,74.86746344628435,143.24284017330453,104.05464015792646,0.8730210053125488,1,17,True,True,3.0,2.0,1.0,5,1.05
672.1092511758881,572.2340785679047,74.71682500356557,143.24284090360592,104.05464045753801,0.8730210040177834,1,18,True,True,3.0,2.0,1.0,5,1.1
671.9030733480754,570.2751911500837,74.63082305467447,143.24284017330453,104.05464015792646,0.8730210053125488,1,19,True,True,3.0,2.0,1.0,5,1.15
675.0837560715753,570.6192260863676,74.60532441477147,143.24284090360592,104.05464045753801,0.8730210040177834,1,20,True,True,3.0,2.0,1.0,5,1.2000000000000002
679.9001273055504,573.3669773991113,74.64510470611155,143.24284090360592,104.05464045753801,0.8730210040177834,1,21,True,True,3.0,2.0,1.0,5,1.25
690.4593767169421,578.4752780783222,74.73258446484229,143.24284090360592,104.05464045753801,0.8730210040177834,1,22,True,True,3.0,2.0,1.0,5,1.3
702.2446503824893,585.6669035121323,74.86751864914255,143.24284090360592,104.05464045753801,0.8730210040177834,1,23,True,True,3.0,2.0,1.0,5,1.35
888.564322842646,750.6582316622518,91.24984638454409,167.08988505587297,125.8557459662764,0.8272228293101147,1,24,True,True,3.0,2.0,2.0,5,0.8
851.169101713244,726.4445444480299,90.71186056342391,167.08988505587297,125.8557459662764,0.8272228293101147,1,25,True,True,3.0,2.0,2.0,5,0.8500000000000001
822.843252417095,706.5369097348079,90.29164353270727,167.08988505587297,125.8557459662764,0.8272228293101147,1,26,True,True,3.0,2.0,2.0,5,0.9
805.7184982022894,691.7338332234917,89.97739161482365,167.08988291196744,125.85574549545822,0.8272228337438712,1,27,True,True,3.0,2.0,2.0,5,0.95
795.7032317432804,683.2976681133716,89.7617071197928,167.08988291196744,125.85574549545822,0.8272228337438712,1,28,True,True,3.0,2.0,2.0,5,1.0
792.9110437348517,679.5778739156185,89.63773370330124,167.08988505587297,125.8557459662764,0.8272228293101147,1,29,True,True,3.0,2.0,2.0,5,1.05
796.0250504305504,678.6430055941964,89.5978105872584,167.08988505587297,125.8557459662764,0.8272228293101147,1,30,True,True,3.0,2.0,2.0,5,1.1
803.3837815057142,680.9495595932952,89.63698740171169,167.08988291196744,125.85574549545822,0.8272228337438712,1,31,True,True,3.0,2.0,2.0,5,1.15
812.634198845821,686.2977788931561,89.74900679920545,167.08988505587297,125.8557459662764,0.8272228293101147,1,32,True,True,3.0,2.0,2.0,5,1.2000000000000002
822.5463721028007,694.4162877310604,89.94292564162359,167.08988291196744,125.85574549545822,0.8272228337438712,1,33,True,True,3.0,2.0,2.0,5,1.25
836.8527893363074,704.0180984036285,90.18931526422124,167.08988291196744,125.85574549545822,0.8272228337438712,1,34,True,True,3.0,2.0,2.0,5,1.3
853.2057139184536,716.7031967841235,90.49170250692603,167.08988505587297,125.8557459662764,0.8272228293101147,1,35,True,True,3.0,2.0,2.0,5,1.35
808.1952814207135,649.6672042589767,73.82071595974458,138.6248635523537,99.19897766109584,0.8810763306399139,1,36,True,True,7.0,1.0,1.0,5,0.8
765.6307717676602,626.6342624579243,73.3163935552565,138.62486271349502,99.19897924475697,0.8810763320791961,1,37,True,True,7.0,1.0,1.0,5,0.8500000000000001
731.8043538443417,607.2182418874501,72.9000753271341,138.62486271349502,99.19897924475697,0.8810763320791961,1,38,True,True,7.0,1.0,1.0,5,0.9
706.1266032941658,592.0233576873273,72.5617171937789,138.62486271349502,99.19897924475697,0.8810763320791961,1,39,True,True,7.0,1.0,1.0,5,0.95
684.6252906452023,580.276528377605,72.29971422766788,138.62486271349502,99.19897924475697,0.8810763320791961,1,40,True,True,7.0,1.0,1.0,5,1.0
671.181207905924,571.9370287117456,72.10649531406253,138.6248635523537,99.19897766109584,0.8810763306399139,1,41,True,True,7.0,1.0,1.0,5,1.05
660.9578113609692,566.451806515014,71.9780756317036,138.62486271349502,99.19897924475697,0.8810763320791961,1,42,True,True,7.0,1.0,1.0,5,1.1
655.3973491877,563.7004605944429,71.9105656276261,138.62486271349502,99.19897924475697,0.8810763320791961,1,43,True,True,7.0,1.0,1.0,5,1.15
655.4597659667695,562.8793869859282,71.90068641032308,138.62486271349502,99.19897924475697,0.8810763320791961,1,44,True,True,7.0,1.0,1.0,5,1.2000000000000002
659.4588640762513,563.9643019134735,71.95278561131134,138.62486271349502,99.19897924475697,0.8810763320791961,1,45,True,True,7.0,1.0,1.0,5,1.25
667.3730050744817,567.4116070790235,72.0484232479409,138.62486271349502,99.19897924475697,0.8810763320791961,1,46,True,True,7.0,1.0,1.0,5,1.3
676.987980319225,572.5984584213654,72.19006531005564,138.6248635523537,99.19897766109584,0.8810763306399139,1,47,True,True,7.0,1.0,1.0,5,1.35
797.3355211608492,643.1075564533112,73.7570953632031,138.7469644968893,99.45822772068121,0.880866742159092,1,48,True,True,7.0,2.0,1.0,5,0.8
756.8108500549641,621.2058883600187,73.24811270730966,138.74696734038196,99.45823182963984,0.8808667372760367,1,49,True,True,7.0,2.0,1.0,5,0.8500000000000001
725.6435051315963,603.1952306133305,72.82816316066305,138.74696734038196,99.45823182963984,0.8808667372760367,1,50,True,True,7.0,2.0,1.0,5,0.9
701.5741060320197,587.9137476591948,72.4874847395638,138.7469644968893,99.45822772068121,0.880866742159092,1,51,True,True,7.0,2.0,1.0,5,0.95
