Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,Factor
24.375879148614356,20.105136894076267,2.5183754782134637,4.951922666172477,3.484060048521986,0.9438129907340209,1,0,True,True,3.0,1.0,1.0,5,0.8
23.599268162902575,19.611940840016242,2.503896597691166,4.951922666172477,3.484060048521986,0.9438129907340209,1,1,True,True,3.0,1.0,1.0,5,0.8500000000000001
23.111731693085915,19.26929570782569,2.492890103203704,4.951922666172477,3.484060048521986,0.9438129907340209,1,2,True,True,3.0,1.0,1.0,5,0.9
22.86116597629028,19.060489096781982,2.48492944465661,4.951922666172477,3.484060048521986,0.9438129907340209,1,3,True,True,3.0,1.0,1.0,5,0.95
22.785650594371564,18.94056212651278,2.4798934941165394,4.951922666172477,3.484060048521986,0.9438129907340209,1,4,True,True,3.0,1.0,1.0,5,1.0
22.85583424802248,18.952672052851565,2.4775137395718394,4.951922693619913,3.484060023108505,0.943812990111156,1,5,True,True,3.0,1.0,1.0,5,1.05
22.99998818072497,19.06385903672784,2.4775492937139196,4.951922666172477,3.484060048521986,0.9438129907340209,1,6,True,True,3.0,1.0,1.0,5,1.1
23.31693534329429,19.239804096007916,2.4798994581768006,4.951922666172477,3.484060048521986,0.9438129907340209,1,7,True,True,3.0,1.0,1.0,5,1.15
23.78614451005783,19.491963890123834,2.484356144957078,4.951922666172477,3.484060048521986,0.9438129907340209,1,8,True,True,3.0,1.0,1.0,5,1.2000000000000002
24.253582697596823,19.81503512180537,2.4910637235596407,4.951922693619913,3.484060023108505,0.943812990111156,1,9,True,True,3.0,1.0,1.0,5,1.25
24.8299478795719,20.155408248660606,2.4994018336672648,4.951922693619913,3.484060023108505,0.943812990111156,1,10,True,True,3.0,1.0,1.0,5,1.3
25.426401683357955,20.546838409268673,2.5093594486491995,4.951922693619913,3.484060023108505,0.943812990111156,1,11,True,True,3.0,1.0,1.0,5,1.35
24.37451613868938,20.146300373371655,2.5309943918530604,4.981009287439191,3.495022485567176,0.9431509892775597,1,12,True,True,3.0,2.0,1.0,5,0.8
23.647552888824762,19.613813098985048,2.5161411572929895,4.98100937560245,3.4950225497696548,0.9431509872651185,1,13,True,True,3.0,2.0,1.0,5,0.8500000000000001
23.212907468118974,19.260480183204127,2.504840593751033,4.981009287439191,3.495022485567176,0.9431509892775597,1,14,True,True,3.0,2.0,1.0,5,0.9
22.977897503600047,19.046347615427923,2.4966604319425563,4.98100937560245,3.4950225497696548,0.9431509872651185,1,15,True,True,3.0,2.0,1.0,5,0.95
22.928653071003577,18.972163712660695,2.491410919685467,4.98100937560245,3.4950225497696548,0.9431509872651185,1,16,True,True,3.0,2.0,1.0,5,1.0
22.98107924869318,19.00607589919637,2.488883507400826,4.98100937560245,3.4950225497696548,0.9431509872651185,1,17,True,True,3.0,2.0,1.0,5,1.05
23.13961980921356,19.1395209079705,2.488752251996937,4.98100937560245,3.4950225497696548,0.9431509872651185,1,18,True,True,3.0,2.0,1.0,5,1.1
23.432485697480104,19.33581999809511,2.4909827152811315,4.981009287439191,3.495022485567176,0.9431509892775597,1,19,True,True,3.0,2.0,1.0,5,1.15
23.926486202577053,19.587682891192976,2.495357428689638,4.981009287439191,3.495022485567176,0.9431509892775597,1,20,True,True,3.0,2.0,1.0,5,1.2000000000000002
24.381724052643207,19.918989293204117,2.5020102810658282,4.98100937560245,3.4950225497696548,0.9431509872651185,1,21,True,True,3.0,2.0,1.0,5,1.25
24.948994871944734,20.251807402093146,2.5102943204143355,4.981009287439191,3.495022485567176,0.9431509892775597,1,22,True,True,3.0,2.0,1.0,5,1.3
25.562734286882097,20.65166485827902,2.5202077851368645,4.981009287439191,3.495022485567176,0.9431509892775597,1,23,True,True,3.0,2.0,1.0,5,1.35
31.656807224011523,27.230665560691588,3.3614464461743934,6.512920631772748,4.63307646106704,0.9028059274208232,1,24,True,True,3.0,2.0,2.0,5,0.8
30.07910164074677,26.255548384213014,3.3395326995098684,6.512920631772748,4.63307646106704,0.9028059274208232,1,25,True,True,3.0,2.0,2.0,5,0.8500000000000001
28.996109957781947,25.459011110650874,3.3220809073572037,6.512920589813338,4.63307651055645,0.9028059286731664,1,26,True,True,3.0,2.0,2.0,5,0.9
28.360711355195974,24.858091639268615,3.308433368081251,6.512920589813338,4.63307651055645,0.9028059286731664,1,27,True,True,3.0,2.0,2.0,5,0.95
28.021417750215463,24.401096420234584,3.2985769041693564,6.512920589813338,4.63307651055645,0.9028059286731664,1,28,True,True,3.0,2.0,2.0,5,1.0
28.063556055868826,24.187967902313275,3.292065303644668,6.512920589813338,4.63307651055645,0.9028059286731664,1,29,True,True,3.0,2.0,2.0,5,1.05
28.335109634452916,24.134120750561003,3.2887032119778232,6.512920589813338,4.63307651055645,0.9028059286731664,1,30,True,True,3.0,2.0,2.0,5,1.1
28.806228519321994,24.21756830054948,3.2883358708175328,6.512920589813338,4.63307651055645,0.9028059286731664,1,31,True,True,3.0,2.0,2.0,5,1.15
29.35603339876065,24.415085178605302,3.290758398359472,6.512920589813338,4.63307651055645,0.9028059286731664,1,32,True,True,3.0,2.0,2.0,5,1.2000000000000002
29.91684257833687,24.73589231389435,3.2961531434578153,6.512920631772748,4.63307646106704,0.9028059274208232,1,33,True,True,3.0,2.0,2.0,5,1.25
30.62154435643307,25.149993026407035,3.303656171150673,6.512920589813338,4.63307651055645,0.9028059286731664,1,34,True,True,3.0,2.0,2.0,5,1.3
31.34754625510367,25.68399286537652,3.3133133989294374,6.512920589813338,4.63307651055645,0.9028059286731664,1,35,True,True,3.0,2.0,2.0,5,1.35
25.494323626808498,20.788846748239695,2.526871925982094,4.9492809948772765,3.481785517755431,0.9438729222108105,1,36,True,True,7.0,1.0,1.0,5,0.8
24.565131407466207,20.28208882377325,2.51278750662146,4.9492810712267366,3.4817856040275115,0.9438729204791358,1,37,True,True,7.0,1.0,1.0,5,0.8500000000000001
23.96236598374633,19.871416150771218,2.502172978584969,4.9492810712267366,3.4817856040275115,0.9438729204791358,1,38,True,True,7.0,1.0,1.0,5,0.9
