Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,ST,ABS
333.4292327490973,240.0561964234144,24.839843853971434,59.197056273622614,33.290481680055386,0.39790345539067373,1,0,True,True,3.0,1.0,1.0,5,0.9,True
321.4954943344523,233.05516934465052,24.60655996418095,58.84090607450175,33.37107756156133,0.4051265085049901,1,1,True,True,3.0,1.0,1.0,5,0.9,False
320.2360174130809,232.66348911021424,24.628405673788567,58.99086298019217,33.493569933777856,0.40209055733986754,1,2,True,True,3.0,1.0,1.0,5,1.0,True
310.70641926070505,227.65305031918348,24.437280967881136,58.684499389970156,33.63066137783364,0.40828480560386593,1,3,True,True,3.0,1.0,1.0,5,1.0,False
309.2775527729955,227.57106872919724,24.47209872197877,58.83630095381236,33.76910777761796,0.4052196191385744,1,4,True,True,3.0,1.0,1.0,5,1.1,True
301.2727891062037,224.01707570192826,24.31531895957816,58.59896020987397,33.97613029553052,0.41000852974679747,1,5,True,True,3.0,1.0,1.0,5,1.1,False
300.8723433709609,224.0455057756596,24.36396836009,58.74052160972198,34.119249188157006,0.4071545234451309,1,6,True,True,3.0,1.0,1.0,5,1.2,True
294.32875467074894,221.413751384084,24.237503181189428,58.59473938459969,34.434564311710886,0.4100935196925296,1,7,True,True,3.0,1.0,1.0,5,1.2,False
294.9423629899396,222.32394244781088,24.29924966597297,58.706638663567055,34.565967505802945,0.4078382612593757,1,8,True,True,3.0,1.0,1.0,5,1.3,True
291.3866601442221,220.2256084145347,24.20130511207145,58.68301393410196,35.04443510978517,0.4083147608967457,1,9,True,True,3.0,1.0,1.0,5,1.3,False
291.0913690618787,221.45052050357847,24.272351095352608,58.74033021005163,35.14261480509313,0.4071583868852504,1,10,True,True,3.0,1.0,1.0,5,1.4,True
290.53838332572735,219.87177620503948,24.203025954741726,58.875008556720424,35.835044518301004,0.4044367658480379,1,11,True,True,3.0,1.0,1.0,5,1.4,False
335.34199520093154,240.23687185905595,24.840294148180448,59.32842779208143,33.365194378420725,0.3952281160827187,1,12,True,True,3.0,2.0,1.0,5,0.9,True
327.999199890042,235.2778917270345,24.644769871875816,59.255335900061304,33.51005724692868,0.3967173411822865,1,13,True,True,3.0,2.0,1.0,5,0.9,False
321.4935143378579,232.94248952004656,24.621467464401235,59.13867779631333,33.55257918203842,0.39909041129569245,1,14,True,True,3.0,2.0,1.0,5,1.0,True
316.42432114059045,230.17942021548035,24.46841718587331,59.104120501684974,33.76895187653857,0.3997924811861181,1,15,True,True,3.0,2.0,1.0,5,1.0,False
