Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,ST,ABS
54.444988210689466,44.70667411542666,5.332365465694958,10.043014471459848,7.306152572713761,0.8583690122152564,1,0,True,True,3.0,1.0,1.0,5,0.9,True
52.858148704906,43.43267525182867,5.3103682561774095,10.052529457357107,7.329954774416514,0.8581005160905083,1,1,True,True,3.0,1.0,1.0,5,0.9,False
51.37081437312369,43.03893515221033,5.2961616079142395,10.018379093890996,7.330967580335839,0.8590629977654641,1,2,True,True,3.0,1.0,1.0,5,1.0,True
50.35115942609762,42.349949715348146,5.283250991823247,10.031499722237186,7.354921327633743,0.8586935981040633,1,3,True,True,3.0,1.0,1.0,5,1.0,False
48.993453479749455,41.85133180812231,5.27217096154819,10.001648462396638,7.364419293738014,0.8595333325636703,1,4,True,True,3.0,1.0,1.0,5,1.1,True
48.48846936326208,41.45227384751174,5.26634726612498,10.017781531315952,7.389998914249147,0.859079810099177,1,5,True,True,3.0,1.0,1.0,5,1.1,False
47.352912672104374,41.03123298199615,5.2588946220925505,9.993525316477285,7.407545863762811,0.8597614085411254,1,6,True,True,3.0,1.0,1.0,5,1.2,True
47.15407280032464,40.87245483100832,5.258742774372453,10.012139974527088,7.434026567631651,0.8592384850303674,1,7,True,True,3.0,1.0,1.0,5,1.2,False
46.463408219362876,40.540828615218025,5.2555751297541935,9.994737445042157,7.460164760306038,0.8597273870109421,1,8,True,True,3.0,1.0,1.0,5,1.3,True
46.37820060858385,40.57001263889658,5.259941897929489,10.015584769858084,7.486816170539963,0.8591416070347238,1,9,True,True,3.0,1.0,1.0,5,1.3,False
46.02454524020159,40.352065094390056,5.261511626016284,10.006206085619404,7.522693571101397,0.8594052856697847,1,10,True,True,3.0,1.0,1.0,5,1.4,True
46.052847583364134,40.558652007813876,5.269524155890102,10.029159752799691,7.5496639660665394,0.8587595132925265,1,11,True,True,3.0,1.0,1.0,5,1.4,False
