Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,ST,ABS
4.762231667906171,3.8962061680633924,0.45345379119262264,0.9441291144622619,0.6145274702830535,0.8776045148517047,1,0,True,True,3.0,1.0,1.0,5,0.9,True
4.612213991467447,3.8104603987338668,0.4520627731457851,0.9421282692396543,0.613315830257464,0.8781227383060628,1,1,True,True,3.0,1.0,1.0,5,0.9,False
4.538111781463717,3.799531096454088,0.4517218588506316,0.9440393555755631,0.6139780630152489,0.87762778616087,1,2,True,True,3.0,1.0,1.0,5,1.0,True
4.482573611873397,3.7385018280227924,0.4509118351806374,0.9420768973699174,0.6129308934131479,0.8781360292608427,1,3,True,True,3.0,1.0,1.0,5,1.0,False
4.424390817256997,3.7320704566312206,0.4507686485934361,0.9439468276688617,0.6135250114541902,0.8776517730631668,1,4,True,True,3.0,1.0,1.0,5,1.1,True
4.404675239809432,3.6972044344369692,0.4504442514209623,0.941897207730206,0.6126866634146194,0.8781825129495916,1,5,True,True,3.0,1.0,1.0,5,1.1,False
4.368988229507818,3.6875745498615764,0.4505369787382419,0.9438403775388549,0.61339933039597,0.8776793662493843,1,6,True,True,3.0,1.0,1.0,5,1.2,True
4.382428532353959,3.67757205541806,0.4506335974564146,0.9415949917526706,0.6127223220145719,0.8782606728260396,1,7,True,True,3.0,1.0,1.0,5,1.2,False
4.372399136862949,3.6749939580786277,0.45099894358064135,0.9437824758162799,0.613665989580529,0.8776943737831198,1,8,True,True,3.0,1.0,1.0,5,1.3,True
4.4153785578081015,3.692089583061186,0.4514745894963561,0.941236814082627,0.6132521680244055,0.8783532731807983,1,9,True,True,3.0,1.0,1.0,5,1.3,False
4.453489783310121,3.7095606939822727,0.4521452413375925,0.94381714380493,0.6142244495064815,0.8776853883059661,1,10,True,True,3.0,1.0,1.0,5,1.4,True
4.531613551048878,3.7463058703494108,0.45297908341707194,0.9409194565376404,0.6141940512797608,0.8784352907935333,1,11,True,True,3.0,1.0,1.0,5,1.4,False
4.617493216653693,3.8208999622085487,0.4492673173139805,0.9362760211302912,0.6088431277164739,0.8796321733164263,1,12,True,True,3.0,2.0,1.0,5,0.9,True
