Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,ST,ABS
370.7494879749613,291.1125949938194,33.42674356509935,77.44397697457538,46.831675174386,0.4153518089607112,1,0,True,True,3.0,1.0,1.0,5,0.9,True
361.6379554732493,287.1066020060262,33.30395825129521,77.54588961541131,46.9133272004427,0.4138120573187758,1,1,True,True,3.0,1.0,1.0,5,0.9,False
353.72171597304674,282.8740418578776,33.200419615689675,77.53048461880941,47.11939226563757,0.4140449342991933,1,2,True,True,3.0,1.0,1.0,5,1.0,True
351.00353131701024,280.03810493688127,33.11364485819537,77.54405568561772,47.18617472544246,0.41383978321955706,1,3,True,True,3.0,1.0,1.0,5,1.0,False
344.02085836473543,276.97717459116546,33.04376841672303,77.69215065863551,47.48144875568167,0.4115987275039117,1,4,True,True,3.0,1.0,1.0,5,1.1,True
342.8357675246794,275.21326162537474,32.982796109662864,77.64927399510165,47.57265041196881,0.4122480008624192,1,5,True,True,3.0,1.0,1.0,5,1.1,False
337.37860968866937,273.1118840870818,32.950816692932584,77.93129042296796,47.94364337998914,0.4079709041945674,1,6,True,True,3.0,1.0,1.0,5,1.2,True
338.05450469691465,272.922391363242,32.90900569976023,77.88836679353862,48.06590383084582,0.4086228897848889,1,7,True,True,3.0,1.0,1.0,5,1.2,False
334.1904542890885,272.03783071006916,32.91470347345215,78.2507312014352,48.4757110154781,0.4031074961195218,1,8,True,True,3.0,1.0,1.0,5,1.3,True
336.88277142245295,273.86557978680327,32.888359579055525,78.29488732406129,48.66613866918551,0.4024336648456891,1,9,True,True,3.0,1.0,1.0,5,1.3,False
334.7627185230382,273.2290760339227,32.930381425682924,78.6567597015925,49.112826614278184,0.39689709698701714,1,10,True,True,3.0,1.0,1.0,5,1.4,True
339.2064517454925,276.1270587775181,32.919066493581035,78.91170698706907,49.50926626480356,0.3929811300436815,1,11,True,True,3.0,1.0,1.0,5,1.4,False
373.4982217256932,293.2706709729269,33.44412052580065,77.43763994421327,46.72030968480264,0.4154474853941843,1,12,True,True,3.0,2.0,1.0,5,0.9,True
368.4740388220763,289.4973465205527,33.31447328388247,77.61052762335862,46.832160631350554,0.41283442168627194,1,13,True,True,3.0,2.0,1.0,5,0.9,False
357.7277266326348,283.8720026992554,33.22388356610802,77.53345508870885,47.00721650258179,0.41400003337442226,1,14,True,True,3.0,2.0,1.0,5,1.0,True
356.0861428005994,281.83905192039543,33.12384460195418,77.5825721927863,47.095837337679946,0.4132573413803807,1,15,True,True,3.0,2.0,1.0,5,1.0,False
347.35590761924885,277.42691441824167,33.07313583905317,77.70003904834269,47.35998919276991,0.41147923604591674,1,16,True,True,3.0,2.0,1.0,5,1.1,True
347.44497181886476,276.9523124901941,32.99345191294805,77.65772264425877,47.45731974168346,0.41212009289047535,1,17,True,True,3.0,2.0,1.0,5,1.1,False
340.3211703802157,274.1027990181626,32.984268039211486,77.93927777317221,47.82129404772401,0.40784954123436656,1,18,True,True,3.0,2.0,1.0,5,1.2,True
341.40836874010597,275.301414617503,32.91891434496389,77.86266141488913,47.956224392727414,0.4090131679404738,1,19,True,True,3.0,2.0,1.0,5,1.2,False
335.85603647196933,273.6198236769059,32.950674703228664,78.25702846900256,48.40095366723359,0.4030114217955246,1,20,True,True,3.0,2.0,1.0,5,1.3,True
338.2663117977225,275.7080984935196,32.89651034353034,78.23102482781107,48.62011470333576,0.40340809664788124,1,21,True,True,3.0,2.0,1.0,5,1.3,False
335.5690011365516,274.7798812321243,32.96809723164561,78.65848115760066,49.09880862159573,0.39687069807404673,1,22,True,True,3.0,2.0,1.0,5,1.4,True
339.7233228776595,277.56092112903826,32.925585697658796,78.80511039952427,49.508577315820034,0.3946199853914234,1,23,True,True,3.0,2.0,1.0,5,1.4,False
414.05959068233625,325.3043375009237,36.55478821480137,81.23063550625255,50.64318633770752,0.35678077295153254,1,24,True,True,3.0,2.0,2.0,5,0.9,True
400.69236474037547,317.8384572082717,36.42422788993045,81.33278075048368,50.78370036228423,0.3551620956210745,1,25,True,True,3.0,2.0,2.0,5,0.9,False
391.58328420056444,313.5242931836212,36.315407592082686,81.29740504060608,51.11864263707684,0.3557229183903975,1,26,True,True,3.0,2.0,2.0,5,1.0,True
384.06975428752713,308.48753102839873,36.22355891654805,81.3316985816622,51.25869820909146,0.355179255217148,1,27,True,True,3.0,2.0,2.0,5,1.0,False
