Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,ST,ABS
717.1320711352779,589.6083419379629,71.67635528538196,137.52778461031025,98.58431190168356,0.8829512091391988,1,0,True,True,3.0,1.0,1.0,5,0.9,True
704.2779200610727,581.1614076393074,71.57889448325142,137.8362836284943,98.78972072238506,0.8824254981045462,1,1,True,True,3.0,1.0,1.0,5,0.9,False
690.6286507580755,572.16545646005,71.29453573898171,137.52638921223817,98.55957695715725,0.882953584351291,1,2,True,True,3.0,1.0,1.0,5,1.0,True
685.5043547017855,569.3108613720086,71.28403347542347,137.85157976234774,98.77012379411651,0.8823994014185291,1,3,True,True,3.0,1.0,1.0,5,1.0,False
673.8437867194074,561.9675922400947,71.03516614721264,137.55446433021075,98.5512319866267,0.8829057909443154,1,4,True,True,3.0,1.0,1.0,5,1.1,True
673.7744784187083,561.7939888693105,71.09578508339476,137.89590905054735,98.7804429912397,0.8823237550017214,1,5,True,True,3.0,1.0,1.0,5,1.1,False
665.0840225536904,557.8185005721998,70.88729387233818,137.6175585593785,98.56043519791484,0.8827983474923967,1,6,True,True,3.0,1.0,1.0,5,1.2,True
667.2631806335603,559.9232141806326,71.0059727145113,137.97316142577336,98.84303131953726,0.8821918683355734,1,7,True,True,3.0,1.0,1.0,5,1.2,False
662.5351453562879,558.9286159713579,70.84401527740985,137.71450293593782,98.61088093477986,0.8826331644556522,1,8,True,True,3.0,1.0,1.0,5,1.3,True
669.5209299201629,563.0217550918763,71.01136674037107,138.08756932281332,98.92452352330326,0.881996413385651,1,9,True,True,3.0,1.0,1.0,5,1.3,False
673.7783971262492,563.9764779370425,70.90356778002133,137.85393734658908,98.69851261351135,0.882395378893879,1,10,True,True,3.0,1.0,1.0,5,1.4,True
683.8291959769734,569.4984350495404,71.11094089790753,138.24864437697525,99.03463117763302,0.8817209574557283,1,11,True,True,3.0,1.0,1.0,5,1.4,False
720.1248299636082,589.3543551216388,71.78185686505978,138.19606354044166,98.87004808501709,0.8818109117310375,1,12,True,True,3.0,2.0,1.0,5,0.9,True
705.1324965780592,581.9168730200709,71.68615227836803,138.62830464908748,99.12380099940009,0.8810704264619927,1,13,True,True,3.0,2.0,1.0,5,0.9,False
692.5289810460039,572.2517631471336,71.40085255329639,138.23486943734628,98.87739844900234,0.8817445266633342,1,14,True,True,3.0,2.0,1.0,5,1.0,True
684.5971603694366,568.4514241746335,71.3906835141681,138.67432972509192,99.15953970798178,0.8809914432943654,1,15,True,True,3.0,2.0,1.0,5,1.0,False
674.8791902953245,562.0482379873362,71.13919283495323,138.29635104055023,98.9052185906053,0.8816393122127878,1,16,True,True,3.0,2.0,1.0,5,1.1,True
670.7948035021202,561.7789384384724,71.1991249315296,138.74059231340038,99.20162709375273,0.8808776846910455,1,17,True,True,3.0,2.0,1.0,5,1.1,False
662.611841850853,558.0478335365943,70.98743761203653,138.38460892820058,98.9539294780116,0.8814881932931365,1,18,True,True,3.0,2.0,1.0,5,1.2,True
663.8232650838775,559.7371867824662,71.10429095631716,138.83072503570082,99.25378026682755,0.8807228589696107,1,19,True,True,3.0,2.0,1.0,5,1.2,False
660.2852252091049,559.1198337785573,70.93860479801567,138.50098149287555,99.00772666084109,0.8812887878550619,1,20,True,True,3.0,2.0,1.0,5,1.3,True
666.1528325755089,562.1662077869286,71.10344935814686,138.95115647422423,99.34038103846532,0.8805158306168918,1,21,True,True,3.0,2.0,1.0,5,1.3,False
671.0008783605256,563.5434891392691,70.99049790973439,138.65437470829227,99.10021642441158,0.881025691116393,1,22,True,True,3.0,2.0,1.0,5,1.4,True
681.1464061596851,567.9761340403253,71.19449967983057,139.11136202448358,99.44487941118622,0.8802401501171486,1,23,True,True,3.0,2.0,1.0,5,1.4,False
844.0225279392065,686.9979236423317,83.95394267908392,154.21921100304752,116.23742833503626,0.8528151901097905,1,24,True,True,3.0,2.0,2.0,5,0.9,True
826.9434336911734,677.0101169634796,83.66237501111135,154.53025700649636,116.26816769805181,0.8522208748506915,1,25,True,True,3.0,2.0,2.0,5,0.9,False
805.0083594646711,666.7433665768402,83.48951726761047,154.1619953338193,116.33156798384357,0.8529243816325203,1,26,True,True,3.0,2.0,2.0,5,1.0,True
796.4698596190995,662.9637696303033,83.32060050812348,154.4710171542624,116.37656491241069,0.852334156685398,1,27,True,True,3.0,2.0,2.0,5,1.0,False
778.6200953277989,653.284413136601,83.15728047439988,154.13020931555909,116.45605126434849,0.8529850251955061,1,28,True,True,3.0,2.0,2.0,5,1.1,True
