Sand_target
16.7
13.3
2.4
67.8
63.8
81.3
75.8
75.7
82.9
15.7
15.6
13.1
75.0
74.4
86.2
84.2
85.3
94.8
43.8
4.5
67.4
69.8
90.8
27.8
30.8
32.7
40.8
87.8
86.2
95.9
26.0
22.6
8.9
55.7
55.1
56.9
39.0
41.0
43.0
51.2
42.2
0.3
0.4
0.0
57.7
62.4
65.3
44.6
52.6
57.5
52.6
48.7
55.0
32.6
30.3
20.2
44.4
50.9
48.3
55.6
57.3
70.3
47.1
47.9
49.5
52.5
58.9
58.9
40.3
42.9
46.7
61.2
55.7
60.3
82.1
82.4
75.7
45.5
47.1
52.1
10.9
16.4
15.3
78.1
78.3
75.1
39.1
39.0
39.3
18.5
16.0
18.7
3.0
2.6
0.6
32.1
30.2
29.4
10.9
11.4
10.5
0.4
0.3
7.7
10.4
14.6
55.7
55.8
3.5
1.7
3.6
9.9
4.7
5.3
44.9
45.7
47.9
45.3
63.3
38.4
36.5
39.0
31.9
32.1
33.7
43.4
36.6
34.2
36.8
33.8
17.8
48.4
49.2
41.7
40.5
40.9
6.0
34.6
37.3
48.2
57.0
58.6
72.2
19.1
16.0
3.2
48.7
47.9
56.8
57.7
58.3
58.5
94.4
93.7
94.0
9.5
7.5
6.8
0.0
0.3
22.0
24.2
11.0
57.0
62.1
68.1
56.0
54.5
36.2
57.8
62.6
72.6
30.5
39.5
43.8
23.7
25.7
31.4
76.3
77.1
83.8
83.1
81.8
3.0
3.4
0.2
53.5
56.5
54.4
24.6
23.7
23.7
0.8
0.1
0.6
5.3
5.0
12.8
37.9
38.6
34.4
56.8
57.4
60.5
62.6
64.4
70.5
37.7
41.1
44.1
43.3
38.8
92.0
90.5
92.0
3.5
8.3
1.5
49.5
45.7
42.8
36.0
37.2
26.2
39.5
39.5
47.2
4.1
3.7
1.6
35.8
32.3
33.8
73.8
75.9
79.6
4.9
8.6
0.7
32.3
32.2
31.0
8.2
10.2
22.3
0.5
2.1
5.1
58.3
58.1
58.3
80.5
84.7
92.0
86.1
83.9
84.0
3.7
3.9
4.1
34.3
39.7
42.2
49.8
56.9
57.5
2.8
2.6
1.5
63.3
64.5
68.5
17.5
15.5
13.7
