Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,max_features,Factor
977.5160808015478,810.4006447226941,102.39359862367388,195.67218673836453,142.48030351725666,0.76305680820246,1,0,True,True,3.0,1.0,1.0,5,0.35,0.9
1001.1949555242635,835.2330864661992,103.01525899411797,195.67218673836453,142.48030351725666,0.76305680820246,1,1,True,True,3.0,1.0,1.0,5,0.35,1.0
1030.8542880015757,866.2338297092977,104.06511985792332,195.67218673836453,142.48030351725666,0.76305680820246,1,2,True,True,3.0,1.0,1.0,5,0.35,1.1
1121.8027911529043,942.6733114535529,107.16454535805362,195.67218673836453,142.48030351725666,0.76305680820246,1,3,True,True,3.0,1.0,1.0,5,0.35,1.3
982.5526180596976,826.6521256356527,102.84533767942332,196.74505158822063,142.87308623869845,0.7604513798715542,1,4,True,True,3.0,1.0,1.0,5,0.5,0.9
998.6218842207923,837.9047396225106,103.40880366730407,196.74505158822063,142.87308623869845,0.7604513798715542,1,5,True,True,3.0,1.0,1.0,5,0.5,1.0
1028.8375004484897,866.1028924785136,104.39464483363844,196.74505158822063,142.87308623869845,0.7604513798715542,1,6,True,True,3.0,1.0,1.0,5,0.5,1.1
1113.034005700272,936.4248368921292,107.3668905130805,196.74505158822063,142.87308623869845,0.7604513798715542,1,7,True,True,3.0,1.0,1.0,5,0.5,1.3
996.2261512765155,834.8135052024372,103.61309947609143,197.42955090837245,144.06885886731558,0.7587816443094869,1,8,True,True,3.0,1.0,1.0,5,0.65,0.9
1018.1480337665146,857.2090235926366,104.1335830907212,197.42955090837245,144.06885886731558,0.7587816443094869,1,9,True,True,3.0,1.0,1.0,5,0.65,1.0
1037.348369039199,873.9001904943584,105.07534540741752,197.42955090837245,144.06885886731558,0.7587816443094869,1,10,True,True,3.0,1.0,1.0,5,0.65,1.1
1107.7733635190853,945.6095522188976,107.97095321811454,197.42955090837245,144.06885886731558,0.7587816443094869,1,11,True,True,3.0,1.0,1.0,5,0.65,1.3
977.3073946297624,811.489272034282,102.41898052359115,195.73871977642943,142.58154628199438,0.7628956485525729,1,12,True,True,3.0,2.0,1.0,5,0.35,0.9
1001.8838354112552,833.8757087234924,103.04152955261144,195.73871977642943,142.58154628199438,0.7628956485525729,1,13,True,True,3.0,2.0,1.0,5,0.35,1.0
1031.1911758093765,867.0212284721403,104.09193498172147,195.73871977642943,142.58154628199438,0.7628956485525729,1,14,True,True,3.0,2.0,1.0,5,0.35,1.1
1122.5035487371892,942.356404588829,107.20431067760268,195.73871977642943,142.58154628199438,0.7628956485525729,1,15,True,True,3.0,2.0,1.0,5,0.35,1.3
984.4039561275547,826.6979632553887,103.02399160003498,196.9892771210778,143.10765902980648,0.7598562929787482,1,16,True,True,3.0,2.0,1.0,5,0.5,0.9
999.2218447181275,843.7596718110099,103.58502124640108,196.9892771210778,143.10765902980648,0.7598562929787482,1,17,True,True,3.0,2.0,1.0,5,0.5,1.0
1029.4212111519896,867.8431340453191,104.56842430068099,196.9892771210778,143.10765902980648,0.7598562929787482,1,18,True,True,3.0,2.0,1.0,5,0.5,1.1
1116.0210572949313,938.8060355828507,107.53584011768162,196.9892771210778,143.10765902980648,0.7598562929787482,1,19,True,True,3.0,2.0,1.0,5,0.5,1.3
997.4341944991679,836.2150059620864,103.69725137982986,197.49052579739802,144.15850311918936,0.7586326237228607,1,20,True,True,3.0,2.0,1.0,5,0.65,0.9
1018.0210752153575,853.2939825785413,104.21211918772099,197.49052579739802,144.15850311918936,0.7586326237228607,1,21,True,True,3.0,2.0,1.0,5,0.65,1.0
1039.2646553346958,872.5134466703707,105.16162483680041,197.49052579739802,144.15850311918936,0.7586326237228607,1,22,True,True,3.0,2.0,1.0,5,0.65,1.1
1112.3909298514457,946.732442902708,108.05813177850567,197.49052579739802,144.15850311918936,0.7586326237228607,1,23,True,True,3.0,2.0,1.0,5,0.65,1.3
1097.684544680313,913.2141989490195,114.48087989397736,215.1340082249922,161.62258064236465,0.7135794496112697,1,24,True,True,3.0,2.0,2.0,5,0.35,0.9
1140.642187983415,955.1766731326088,115.74997739627995,215.1340082249922,161.62258064236465,0.7135794496112697,1,25,True,True,3.0,2.0,2.0,5,0.35,1.0
1190.8449032928045,1009.2497776342127,117.51694536138265,215.1340082249922,161.62258064236465,0.7135794496112697,1,26,True,True,3.0,2.0,2.0,5,0.35,1.1
1328.8679093974959,1115.1706797931877,122.17056319267525,215.1340082249922,161.62258064236465,0.7135794496112697,1,27,True,True,3.0,2.0,2.0,5,0.35,1.3
1075.5706271979589,915.8796128742297,114.70760683276269,216.18937954474393,163.2452674636718,0.7107624010543123,1,28,True,True,3.0,2.0,2.0,5,0.5,0.9
1135.7382701172157,944.6272520136746,115.89392886916502,216.18937954474393,163.2452674636718,0.7107624010543123,1,29,True,True,3.0,2.0,2.0,5,0.5,1.0
1185.442075133894,990.455334714289,117.56781944366087,216.18937954474393,163.2452674636718,0.7107624010543123,1,30,True,True,3.0,2.0,2.0,5,0.5,1.1
1309.2727823327652,1106.34669076008,122.05387747564114,216.18937954474393,163.2452674636718,0.7107624010543123,1,31,True,True,3.0,2.0,2.0,5,0.5,1.3
1076.3678122032975,907.5488080279647,115.05323731291938,216.36592627286586,163.22675032054417,0.7102898079784807,1,32,True,True,3.0,2.0,2.0,5,0.65,0.9
