Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,max_features,Factor
312.8209018239072,239.95351954798738,27.921333893831672,64.51029361497194,41.63174738601964,0.28497051581919186,1,0,True,True,3.0,1.0,1.0,5,0.35,0.9
302.1936381038921,240.67556718471246,27.89374430166212,64.51029361497194,41.63174738601964,0.28497051581919186,1,1,True,True,3.0,1.0,1.0,5,0.35,1.0
297.65192617255184,247.2069659834807,27.98099453350644,64.51029361497194,41.63174738601964,0.28497051581919186,1,2,True,True,3.0,1.0,1.0,5,0.35,1.1
306.48411514448077,254.5025445667652,28.426240220521372,64.51029361497194,41.63174738601964,0.28497051581919186,1,3,True,True,3.0,1.0,1.0,5,0.35,1.3
303.1798341137256,237.74709162375356,27.732296589266024,64.31841187475786,41.43396897972791,0.2892178086496353,1,4,True,True,3.0,1.0,1.0,5,0.5,0.9
295.93578167177424,236.09187826781206,27.70158193818632,64.31841187475786,41.43396897972791,0.2892178086496353,1,5,True,True,3.0,1.0,1.0,5,0.5,1.0
287.0581865595564,240.4016108866069,27.780432703830822,64.31841187475786,41.43396897972791,0.2892178086496353,1,6,True,True,3.0,1.0,1.0,5,0.5,1.1
297.4131784911837,247.06958000326424,28.21085700977109,64.31841187475786,41.43396897972791,0.2892178086496353,1,7,True,True,3.0,1.0,1.0,5,0.5,1.3
309.9514139836601,239.0370508899328,27.971478509238594,64.61982698545873,41.73407822468443,0.28254032754262826,1,8,True,True,3.0,1.0,1.0,5,0.65,0.9
308.33108935568026,239.78520132461432,27.9428825632265,64.61982698545873,41.73407822468443,0.28254032754262826,1,9,True,True,3.0,1.0,1.0,5,0.65,1.0
298.58666876216085,242.00433301183298,28.02668820120973,64.61982698545873,41.73407822468443,0.28254032754262826,1,10,True,True,3.0,1.0,1.0,5,0.65,1.1
309.93931475667887,254.41410408572543,28.464898298422668,64.61982698545873,41.73407822468443,0.28254032754262826,1,11,True,True,3.0,1.0,1.0,5,0.65,1.3
313.0500897088191,240.82111379363926,27.903709448725795,64.46820906688342,41.610921820143055,0.2859031383690126,1,12,True,True,3.0,2.0,1.0,5,0.35,0.9
304.95874541030855,239.7372344805049,27.878493497274675,64.46820906688342,41.610921820143055,0.2859031383690126,1,13,True,True,3.0,2.0,1.0,5,0.35,1.0
297.76356015205033,247.1974414000957,27.967071008488983,64.46820906688342,41.610921820143055,0.2859031383690126,1,14,True,True,3.0,2.0,1.0,5,0.35,1.1
306.4162943333839,255.1990816094647,28.414976310000764,64.46820906688342,41.610921820143055,0.2859031383690126,1,15,True,True,3.0,2.0,1.0,5,0.35,1.3
305.8190520750255,236.7402879892385,27.72105689934607,64.32366702441497,41.46274115631977,0.2891016546814119,1,16,True,True,3.0,2.0,1.0,5,0.5,0.9
294.76869788572935,235.7465466238429,27.69325508772626,64.32366702441497,41.46274115631977,0.2891016546814119,1,17,True,True,3.0,2.0,1.0,5,0.5,1.0
285.1262092146278,241.50707461669427,27.77383380326968,64.32366702441497,41.46274115631977,0.2891016546814119,1,18,True,True,3.0,2.0,1.0,5,0.5,1.1
295.4342714034554,247.58027505194917,28.206783776733396,64.32366702441497,41.46274115631977,0.2891016546814119,1,19,True,True,3.0,2.0,1.0,5,0.5,1.3
308.2449581896977,239.80256741549866,27.97609792593885,64.63471395795357,41.736078694058904,0.28220971592640665,1,20,True,True,3.0,2.0,1.0,5,0.65,0.9
307.23353803828894,239.24421637398314,27.944453304295287,64.63471395795357,41.736078694058904,0.28220971592640665,1,21,True,True,3.0,2.0,1.0,5,0.65,1.0
298.16434746399364,241.96154295027335,28.0287846133425,64.63471395795357,41.736078694058904,0.28220971592640665,1,22,True,True,3.0,2.0,1.0,5,0.65,1.1
305.73714504856594,253.03820125352786,28.464293891068582,64.63471395795357,41.736078694058904,0.28220971592640665,1,23,True,True,3.0,2.0,1.0,5,0.65,1.3
330.24967374134366,254.39984920734102,29.008562739311852,67.27156816352003,45.284077698942504,0.22244876346449316,1,24,True,True,3.0,2.0,2.0,5,0.35,0.9
339.82935278085546,259.9755064840814,29.11430543129239,67.27156816352003,45.284077698942504,0.22244876346449316,1,25,True,True,3.0,2.0,2.0,5,0.35,1.0
340.00985402721034,270.2453171623846,29.354417115910493,67.27156816352003,45.284077698942504,0.22244876346449316,1,26,True,True,3.0,2.0,2.0,5,0.35,1.1
361.5318660993157,297.86164565120595,30.156593547925432,67.27156816352003,45.284077698942504,0.22244876346449316,1,27,True,True,3.0,2.0,2.0,5,0.35,1.3
335.31929495615066,257.3574407482004,29.084664166137653,67.37271573751391,45.298391561093965,0.22010879877010225,1,28,True,True,3.0,2.0,2.0,5,0.5,0.9
330.9561023244039,265.85201125154276,29.18757420538421,67.37271573751391,45.298391561093965,0.22010879877010225,1,29,True,True,3.0,2.0,2.0,5,0.5,1.0
343.1362406552736,273.0660209554847,29.424784109311258,67.37271573751391,45.298391561093965,0.22010879877010225,1,30,True,True,3.0,2.0,2.0,5,0.5,1.1
364.49406173840026,295.1396499133532,30.219493781823736,67.37271573751391,45.298391561093965,0.22010879877010225,1,31,True,True,3.0,2.0,2.0,5,0.5,1.3
333.28216519415287,255.45182666946664,28.88844772124427,67.09500537843795,45.058091345040665,0.22652497136403738,1,32,True,True,3.0,2.0,2.0,5,0.65,0.9
334.43535189116426,259.7631122521739,29.00003229423764,67.09500537843795,45.058091345040665,0.22652497136403738,1,33,True,True,3.0,2.0,2.0,5,0.65,1.0
339.920063495535,270.0534439722657,29.24261447950457,67.09500537843795,45.058091345040665,0.22652497136403738,1,34,True,True,3.0,2.0,2.0,5,0.65,1.1
362.3316502647622,290.7104281271937,30.035540417945352,67.09500537843795,45.058091345040665,0.22652497136403738,1,35,True,True,3.0,2.0,2.0,5,0.65,1.3
307.5391666068632,242.81251423652242,27.69157809498546,64.13553355710843,41.38767520652735,0.2932540356106912,1,36,True,True,7.0,1.0,1.0,5,0.35,0.9
292.61513823313464,238.4204606132539,27.675257669495934,64.13553355710843,41.38767520652735,0.2932540356106912,1,37,True,True,7.0,1.0,1.0,5,0.35,1.0
297.5661922496445,241.57548912732534,27.76679103173296,64.13553355710843,41.38767520652735,0.2932540356106912,1,38,True,True,7.0,1.0,1.0,5,0.35,1.1
299.0908581233901,249.24736255546992,28.214780363878024,64.13553355710843,41.38767520652735,0.2932540356106912,1,39,True,True,7.0,1.0,1.0,5,0.35,1.3
308.15434549071085,240.70360757003712,27.62420543735858,64.14887313564309,41.211961319971955,0.2929600122134205,1,40,True,True,7.0,1.0,1.0,5,0.5,0.9
302.8063171804348,240.14772921711082,27.596780976567903,64.14887313564309,41.211961319971955,0.2929600122134205,1,41,True,True,7.0,1.0,1.0,5,0.5,1.0
289.5064128644366,239.97660379763892,27.677784001722017,64.14887313564309,41.211961319971955,0.2929600122134205,1,42,True,True,7.0,1.0,1.0,5,0.5,1.1
295.72426787547124,249.27064219873319,28.100737556838055,64.14887313564309,41.211961319971955,0.2929600122134205,1,43,True,True,7.0,1.0,1.0,5,0.5,1.3
308.08827841098395,241.45966306440096,27.646612728073634,64.24224122832165,41.231959574081344,0.29090033403136273,1,44,True,True,7.0,1.0,1.0,5,0.65,0.9
301.16533648769297,239.09423217131837,27.627296964714102,64.24224122832165,41.231959574081344,0.29090033403136273,1,45,True,True,7.0,1.0,1.0,5,0.65,1.0
295.6957950821579,239.98686623121836,27.716542814665548,64.24224122832165,41.231959574081344,0.29090033403136273,1,46,True,True,7.0,1.0,1.0,5,0.65,1.1
301.0914538999062,248.77800008872234,28.155619238242572,64.24224122832165,41.231959574081344,0.29090033403136273,1,47,True,True,7.0,1.0,1.0,5,0.65,1.3
308.6171462719978,242.56133063775954,27.777964563211437,64.27451145556651,41.50342242055259,0.29018776379160016,1,48,True,True,7.0,2.0,1.0,5,0.35,0.9
292.0273190313115,239.19559315098175,27.755425806549315,64.27451145556651,41.50342242055259,0.29018776379160016,1,49,True,True,7.0,2.0,1.0,5,0.35,1.0
298.0221263660437,242.05799532311943,27.843292446433875,64.27451145556651,41.50342242055259,0.29018776379160016,1,50,True,True,7.0,2.0,1.0,5,0.35,1.1
300.72722259544025,249.2561060974629,28.28342093594314,64.27451145556651,41.50342242055259,0.29018776379160016,1,51,True,True,7.0,2.0,1.0,5,0.35,1.3
310.25200097198723,240.58577243654776,27.708775796935054,64.27098433131064,41.31546554701262,0.29026566488194394,1,52,True,True,7.0,2.0,1.0,5,0.5,0.9
304.8002235658836,238.49416212068724,27.680275894646783,64.27098433131064,41.31546554701262,0.29026566488194394,1,53,True,True,7.0,2.0,1.0,5,0.5,1.0
290.6393351779956,242.1840080647438,27.758555337807472,64.27098433131064,41.31546554701262,0.29026566488194394,1,54,True,True,7.0,2.0,1.0,5,0.5,1.1
297.6972918806735,249.69899495852786,28.179536952626144,64.27098433131064,41.31546554701262,0.29026566488194394,1,55,True,True,7.0,2.0,1.0,5,0.5,1.3
306.28124111931197,239.80759893380605,27.71662686802873,64.3592178445161,41.319565144235625,0.28831562974278946,1,56,True,True,7.0,2.0,1.0,5,0.65,0.9
297.61827362549093,239.72306826647963,27.69214756165033,64.3592178445161,41.319565144235625,0.28831562974278946,1,57,True,True,7.0,2.0,1.0,5,0.65,1.0
295.1023110178209,240.51796166065319,27.77721564107538,64.3592178445161,41.319565144235625,0.28831562974278946,1,58,True,True,7.0,2.0,1.0,5,0.65,1.1
