Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,max_features,Factor
5.735353043424023,5.09808648876891,0.6803452842040368,1.3785771128598436,0.9632914446002806,0.739045526948702,1,0,True,True,3.0,1.0,1.0,5,0.35,0.9
5.853429172510517,5.270266479663396,0.6842524399398316,1.3785771128598436,0.9632914446002806,0.739045526948702,1,1,True,True,3.0,1.0,1.0,5,0.35,1.0
6.210764422962483,5.412652819845962,0.691078848996597,1.3785771128598436,0.9632914446002806,0.739045526948702,1,2,True,True,3.0,1.0,1.0,5,0.35,1.1
6.884255184394284,5.8658490632185325,0.7111806319559,1.3785771128598436,0.9632914446002806,0.739045526948702,1,3,True,True,3.0,1.0,1.0,5,0.35,1.3
5.860777452399994,5.144611598949048,0.6813773128114778,1.3804267445550122,0.9625957924263674,0.7383448139339897,1,4,True,True,3.0,1.0,1.0,5,0.5,0.9
5.8167286115007,5.180757363253857,0.6848031308258065,1.3804267445550122,0.9625957924263674,0.7383448139339897,1,5,True,True,3.0,1.0,1.0,5,0.5,1.0
6.145602236208804,5.391575210408408,0.6910548296073143,1.3804267445550122,0.9625957924263674,0.7383448139339897,1,6,True,True,3.0,1.0,1.0,5,0.5,1.1
6.745169077765954,5.814481528398264,0.7101690317628634,1.3804267445550122,0.9625957924263674,0.7383448139339897,1,7,True,True,3.0,1.0,1.0,5,0.5,1.3
5.697524869393486,5.124073586717409,0.681679091569458,1.3823543409238341,0.9624042075736325,0.7376135650925335,1,8,True,True,3.0,1.0,1.0,5,0.65,0.9
5.7766725105189325,5.212230014025246,0.6848158885994391,1.3823543409238341,0.9624042075736325,0.7376135650925335,1,9,True,True,3.0,1.0,1.0,5,0.65,1.0
6.16500150723737,5.331193703170252,0.690791486788342,1.3823543409238341,0.9624042075736325,0.7376135650925335,1,10,True,True,3.0,1.0,1.0,5,0.65,1.1
6.811724827281683,5.799152628028719,0.709412449270151,1.3823543409238341,0.9624042075736325,0.7376135650925335,1,11,True,True,3.0,1.0,1.0,5,0.65,1.3
5.848609759420328,5.13218840750963,0.6812858149672725,1.3820953768823045,0.9653467040673211,0.7377118644721028,1,12,True,True,3.0,2.0,1.0,5,0.35,0.9
5.836416549789618,5.271605890603086,0.6852454330842918,1.3820953768823045,0.9653467040673211,0.7377118644721028,1,13,True,True,3.0,2.0,1.0,5,0.35,1.0
6.207312644456819,5.419882498199759,0.6920418414665163,1.3820953768823045,0.9653467040673211,0.7377118644721028,1,14,True,True,3.0,2.0,1.0,5,0.35,1.1
6.914322364140963,5.875831745271403,0.7121704226070014,1.3820953768823045,0.9653467040673211,0.7377118644721028,1,15,True,True,3.0,2.0,1.0,5,0.35,1.3
5.885399377547703,5.108345677946862,0.6807978968552725,1.3765497507221394,0.9619037868162693,0.739812491956892,1,16,True,True,3.0,2.0,1.0,5,0.5,0.9
5.830115708274894,5.193506311360448,0.6842070813719495,1.3765497507221394,0.9619037868162693,0.739812491956892,1,17,True,True,3.0,2.0,1.0,5,0.5,1.0
6.155572728076223,5.396697934425102,0.6904725216603191,1.3765497507221394,0.9619037868162693,0.739812491956892,1,18,True,True,3.0,2.0,1.0,5,0.5,1.1
6.769442098179011,5.817436687546807,0.7096216807882479,1.3765497507221394,0.9619037868162693,0.739812491956892,1,19,True,True,3.0,2.0,1.0,5,0.5,1.3
5.673632538569425,5.173023570192114,0.6825722235842799,1.3845059442549965,0.9651276297335203,0.7367961323019276,1,20,True,True,3.0,2.0,1.0,5,0.65,0.9
5.768776297335202,5.233316970546985,0.6856334819302946,1.3845059442549965,0.9651276297335203,0.7367961323019276,1,21,True,True,3.0,2.0,1.0,5,0.65,1.0
6.163210090045078,5.3054525566213,0.6916404221916626,1.3845059442549965,0.9651276297335203,0.7367961323019276,1,22,True,True,3.0,2.0,1.0,5,0.65,1.1
6.815261642351019,5.800561398907589,0.7102474898179062,1.3845059442549965,0.9651276297335203,0.7367961323019276,1,23,True,True,3.0,2.0,1.0,5,0.65,1.3
7.053203235588751,5.913632062009307,0.768527347064868,1.5250387667939476,1.0951907433380086,0.680651864581612,1,24,True,True,3.0,2.0,2.0,5,0.35,0.9
7.5068793828892,6.185161290322581,0.776594060899439,1.5250387667939476,1.0951907433380086,0.680651864581612,1,25,True,True,3.0,2.0,2.0,5,0.35,1.0
7.9378818351494305,6.625776924672557,0.7880939611285581,1.5250387667939476,1.0951907433380086,0.680651864581612,1,26,True,True,3.0,2.0,2.0,5,0.35,1.1
