Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,max_features,Factor
3.7762486112936733,3.1873368852212067,0.40515030455188483,0.8314648032179007,0.5735391304347827,0.690293642441563,1,0,True,True,3.0,1.0,1.0,5,0.35,0.9
3.7550631136044874,3.233877980364656,0.4068893050409537,0.8314648032179007,0.5735391304347827,0.690293642441563,1,1,True,True,3.0,1.0,1.0,5,0.35,1.0
3.8895133763395817,3.3167252481913407,0.4103212760059878,0.8314648032179007,0.5735391304347827,0.690293642441563,1,2,True,True,3.0,1.0,1.0,5,0.35,1.1
4.212825408178858,3.5610862710038855,0.42099449569867814,0.8314648032179007,0.5735391304347827,0.690293642441563,1,3,True,True,3.0,1.0,1.0,5,0.35,1.3
3.546651847389683,3.1305468980674953,0.40300001933991747,0.8317701484543356,0.5716378681626928,0.6900661289618368,1,4,True,True,3.0,1.0,1.0,5,0.5,0.9
3.6929067321178115,3.104824684431977,0.40455076230827497,0.8317701484543356,0.5716378681626928,0.6900661289618368,1,5,True,True,3.0,1.0,1.0,5,0.5,1.0
3.8211886668587933,3.1941926469458055,0.40778565713595893,0.8317701484543356,0.5716378681626928,0.6900661289618368,1,6,True,True,3.0,1.0,1.0,5,0.5,1.1
4.1018843970026415,3.485446407720571,0.418060500775738,0.8317701484543356,0.5716378681626928,0.6900661289618368,1,7,True,True,3.0,1.0,1.0,5,0.5,1.3
3.6556962390241314,3.164115380921309,0.40346429948578233,0.831037881780197,0.5710322580645161,0.6906116025962372,1,8,True,True,3.0,1.0,1.0,5,0.65,0.9
3.69774193548387,3.162412342215989,0.404887761212202,0.831037881780197,0.5710322580645161,0.6906116025962372,1,9,True,True,3.0,1.0,1.0,5,0.65,1.0
3.8632442021123836,3.2192139024360475,0.4079564142417007,0.831037881780197,0.5710322580645161,0.6906116025962372,1,10,True,True,3.0,1.0,1.0,5,0.65,1.1
4.219366585347901,3.5041180405135384,0.41807160927956893,0.831037881780197,0.5710322580645161,0.6906116025962372,1,11,True,True,3.0,1.0,1.0,5,0.65,1.3
3.724471481571343,3.1713983162366057,0.4065138485637655,0.836046792680405,0.5745576437587658,0.6868708124423881,1,12,True,True,3.0,2.0,1.0,5,0.35,0.9
3.703572931276297,3.1962552594670406,0.40812244722145863,0.836046792680405,0.5745576437587658,0.6868708124423881,1,13,True,True,3.0,2.0,1.0,5,0.35,1.0
3.8842217055986166,3.283490523661543,0.4114647413862832,0.836046792680405,0.5745576437587658,0.6868708124423881,1,14,True,True,3.0,2.0,1.0,5,0.35,1.1
4.216952136215104,3.526604858636062,0.42201137882300616,0.836046792680405,0.5745576437587658,0.6868708124423881,1,15,True,True,3.0,2.0,1.0,5,0.35,1.3
3.5540873633974783,3.1258055131714833,0.40293391254569605,0.8313946059817444,0.5720224403927069,0.6903459347635077,1,16,True,True,3.0,2.0,1.0,5,0.5,0.9
3.6946178120617104,3.1611430575035064,0.4044998721394109,0.8313946059817444,0.5720224403927069,0.6903459347635077,1,17,True,True,3.0,2.0,1.0,5,0.5,1.0
3.895960281097214,3.1933703330139185,0.40775591401072564,0.8313946059817444,0.5720224403927069,0.6903459347635077,1,18,True,True,3.0,2.0,1.0,5,0.5,1.1
