Clay_target
43.5
49.7
59.8
9.2
9.6
8.8
12.0
10.8
12.0
26.6
27.1
27.0
13.8
13.8
9.6
8.6
9.9
3.7
34.4
45.4
14.1
13.6
5.8
23.9
22.8
25.8
20.4
8.0
7.5
3.6
31.5
36.5
51.1
14.7
14.4
12.0
24.8
23.6
17.4
16.5
16.6
60.4
59.5
56.1
12.0
12.5
11.8
14.8
14.6
14.2
16.4
22.6
17.4
43.7
45.1
57.6
16.0
13.9
13.7
23.0
22.2
15.3
26.6
27.5
24.7
15.0
12.9
12.9
26.3
25.1
25.6
20.3
19.9
19.3
7.7
10.6
9.0
11.1
12.3
16.7
30.8
26.8
29.0
9.3
9.6
10.9
23.5
22.4
21.4
19.5
18.6
14.0
48.1
49.2
45.3
17.9
19.6
24.7
36.2
34.0
33.0
76.2
74.0
47.4
46.5
36.7
15.1
11.4
66.5
70.2
72.7
47.6
50.1
53.4
19.7
19.4
19.9
23.3
11.0
24.5
24.6
20.1
33.5
34.0
29.3
24.1
26.2
24.4
36.0
41.6
49.8
18.3
18.7
18.8
43.0
42.9
74.6
21.6
20.4
16.6
9.6
9.6
4.0
48.4
54.1
74.6
18.7
16.5
16.6
11.7
15.2
13.8
5.6
5.9
4.5
32.6
29.9
26.1
95.2
85.1
33.5
31.8
34.1
21.7
19.2
14.8
18.0
18.3
23.1
26.4
18.8
13.9
26.9
21.1
20.6
21.0
24.9
21.4
14.2
13.0
9.5
10.7
11.6
58.3
51.2
56.6
24.7
22.8
24.2
20.4
19.8
18.3
72.7
73.5
78.6
47.0
48.2
39.5
21.1
22.5
22.1
13.9
13.8
12.4
10.1
9.9
8.0
15.6
15.7
26.5
25.5
24.2
7.2
6.0
8.0
23.8
15.8
18.2
18.5
12.8
16.2
29.6
28.1
36.0
21.9
20.9
17.9
69.2
67.3
74.1
29.3
30.5
28.9
7.8
9.9
7.5
61.2
59.1
68.2
22.5
21.9
22.3
35.7
35.8
30.4
50.3
47.7
57.5
20.2
21.8
20.8
8.2
6.4
3.3
9.9
9.7
