Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,n_components,Factor
1115.5016430892595,927.5971267262257,118.80632191492761,218.43347307707313,165.95752223654898,0.7047265356126541,1,0,True,True,3.0,1.0,1.0,5,5,0.9
1084.5806760275075,910.0776642158922,118.25009975793527,218.43347307707313,165.95752223654898,0.7047265356126541,1,1,True,True,3.0,1.0,1.0,5,5,1.0
1082.638518061078,918.6665948095033,118.16578777538578,218.43347307707313,165.95752223654898,0.7047265356126541,1,2,True,True,3.0,1.0,1.0,5,5,1.1
1135.7504970486316,965.8669770245622,119.17625841518634,218.43347307707313,165.95752223654898,0.7047265356126541,1,3,True,True,3.0,1.0,1.0,5,5,1.3
1036.8035261245343,847.3184021400832,99.26258369038953,183.040427186823,135.94117455018872,0.7926614396037145,1,4,True,True,3.0,1.0,1.0,5,10,0.9
1006.9039700824177,822.129947570757,98.67696385090638,183.040427186823,135.94117455018872,0.7926614396037145,1,5,True,True,3.0,1.0,1.0,5,10,1.0
1001.0641618109925,813.2540329647709,98.49044522516706,183.040427186823,135.94117455018872,0.7926614396037145,1,6,True,True,3.0,1.0,1.0,5,10,1.1
998.9764025856285,834.1969231171826,99.0708741581043,183.040427186823,135.94117455018872,0.7926614396037145,1,7,True,True,3.0,1.0,1.0,5,10,1.3
1557.4818603119056,1094.1791521777125,104.65872260448656,183.00472836361968,140.03394921330022,0.7927423072124123,1,8,True,True,3.0,1.0,1.0,5,25,0.9
1440.0562609755705,1050.7898265669237,103.565383161459,183.00472836361968,140.03394921330022,0.7927423072124123,1,9,True,True,3.0,1.0,1.0,5,25,1.0
1342.3648211789264,996.355830320689,102.75844987291237,183.00472836361968,140.03394921330022,0.7927423072124123,1,10,True,True,3.0,1.0,1.0,5,25,1.1
1231.887501976529,929.573117390598,101.7558741743929,183.00472836361968,140.03394921330022,0.7927423072124123,1,11,True,True,3.0,1.0,1.0,5,25,1.3
1115.4545789403473,924.9343410804051,117.76502252783627,215.71094361474044,164.28270471377886,0.7120411737470436,1,12,True,True,3.0,2.0,1.0,5,5,0.9
1078.891835570806,909.5489357203306,117.26802213383854,215.71094361474044,164.28270471377886,0.7120411737470436,1,13,True,True,3.0,2.0,1.0,5,5,1.0
1085.3195994034377,918.2523956231161,117.25512332203327,215.71094361474044,164.28270471377886,0.7120411737470436,1,14,True,True,3.0,2.0,1.0,5,5,1.1
1140.15414794923,969.3291274969174,118.38786480793321,215.71094361474044,164.28270471377886,0.7120411737470436,1,15,True,True,3.0,2.0,1.0,5,5,1.3
1051.7554977874522,853.0072733190879,99.65582393089743,183.54597975576704,136.1916123692586,0.7915145312493872,1,16,True,True,3.0,2.0,1.0,5,10,0.9
1020.9841331966844,831.7966707390276,99.05459286930791,183.54597975576704,136.1916123692586,0.7915145312493872,1,17,True,True,3.0,2.0,1.0,5,10,1.0
1006.2297264396059,821.3007811928311,98.85607206856652,183.54597975576704,136.1916123692586,0.7915145312493872,1,18,True,True,3.0,2.0,1.0,5,10,1.1
1008.5516109846224,838.6282231881744,99.43122225733629,183.54597975576704,136.1916123692586,0.7915145312493872,1,19,True,True,3.0,2.0,1.0,5,10,1.3
1555.4333585785607,1088.3053359137632,103.99710748705888,183.5491041744747,140.36672921931853,0.791507433284682,1,20,True,True,3.0,2.0,1.0,5,25,0.9
