Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,n_components,Factor
1.460449253824674,1.2322181917019803,0.16412170584342936,0.29922941037707085,0.23263575690144803,0.5267687020991999,1,0,True,True,3.0,1.0,1.0,5,5,0.9
1.4140831153972582,1.2130456244209096,0.16338116358863872,0.29922941037707085,0.23263575690144803,0.5267687020991999,1,1,True,True,3.0,1.0,1.0,5,5,1.0
1.4054746808415892,1.2032576743609036,0.16328737446805233,0.29922941037707085,0.23263575690144803,0.5267687020991999,1,2,True,True,3.0,1.0,1.0,5,5,1.1
1.4569645310981787,1.2450847389551385,0.16457648240198428,0.29922941037707085,0.23263575690144803,0.5267687020991999,1,3,True,True,3.0,1.0,1.0,5,5,1.3
1.5228663532206488,1.1926617381177724,0.15012872673881877,0.2719993467002372,0.2109410687329333,0.6089785085513071,1,4,True,True,3.0,1.0,1.0,5,10,0.9
1.493819216627441,1.1581033205784028,0.14906892463910193,0.2719993467002372,0.2109410687329333,0.6089785085513071,1,5,True,True,3.0,1.0,1.0,5,10,1.0
1.4662160956537862,1.139780307741173,0.14849637342893457,0.2719993467002372,0.2109410687329333,0.6089785085513071,1,6,True,True,3.0,1.0,1.0,5,10,1.1
1.4892611982116042,1.1817423139569894,0.14865155208856387,0.2719993467002372,0.2109410687329333,0.6089785085513071,1,7,True,True,3.0,1.0,1.0,5,10,1.3
1.8723549608863226,1.3377142448006047,0.13607855543274647,0.23934561443461064,0.18254808388728727,0.6972278989923679,1,8,True,True,3.0,1.0,1.0,5,25,0.9
1.7049324845188463,1.2715905074845737,0.13446826848874874,0.23934561443461064,0.18254808388728727,0.6972278989923679,1,9,True,True,3.0,1.0,1.0,5,25,1.0
1.623389541236963,1.216323946671798,0.1332439851304582,0.23934561443461064,0.18254808388728727,0.6972278989923679,1,10,True,True,3.0,1.0,1.0,5,25,1.1
1.5628393334932218,1.138961471118269,0.1317254682172989,0.23934561443461064,0.18254808388728727,0.6972278989923679,1,11,True,True,3.0,1.0,1.0,5,25,1.3
1.4601126145613232,1.2314742659407936,0.16408898688552842,0.2991768632536074,0.23264878781135326,0.5269348940519714,1,12,True,True,3.0,2.0,1.0,5,5,0.9
1.4158127475337026,1.2136980214584447,0.16335103913141802,0.2991768632536074,0.23264878781135326,0.5269348940519714,1,13,True,True,3.0,2.0,1.0,5,5,1.0
1.4015079244659165,1.208578580448954,0.16324977236569976,0.2991768632536074,0.23264878781135326,0.5269348940519714,1,14,True,True,3.0,2.0,1.0,5,5,1.1
1.45848513127704,1.242598289820027,0.16453852626561322,0.2991768632536074,0.23264878781135326,0.5269348940519714,1,15,True,True,3.0,2.0,1.0,5,5,1.3
1.5430136326806492,1.2146465216336997,0.15052533124485465,0.27242893384365563,0.2113894101816896,0.6077423992960758,1,16,True,True,3.0,2.0,1.0,5,10,0.9
