Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,n_components,Factor
4.556789388867097,3.81182857028063,0.49299920883060205,0.9827489812673963,0.7136765828679843,0.567339163599573,1,0,True,True,3.0,1.0,1.0,5,5,0.9
4.643452345131373,3.751086503568265,0.49087905715130514,0.9827489812673963,0.7136765828679843,0.567339163599573,1,1,True,True,3.0,1.0,1.0,5,5,1.0
4.466564201778042,3.7811740927584174,0.4907925959991212,0.9827489812673963,0.7136765828679843,0.567339163599573,1,2,True,True,3.0,1.0,1.0,5,5,1.1
4.690275638438855,4.0931559224220635,0.495627390764435,0.9827489812673963,0.7136765828679843,0.567339163599573,1,3,True,True,3.0,1.0,1.0,5,5,1.3
5.14338710450934,4.023629701241003,0.44653270680769935,0.9012528513900513,0.6220576346343448,0.6361220960128275,1,4,True,True,3.0,1.0,1.0,5,10,0.9
4.822932149961205,3.9085784357964295,0.4437484828668473,0.9012528513900513,0.6220576346343448,0.6361220960128275,1,5,True,True,3.0,1.0,1.0,5,10,1.0
4.698968687841742,3.877313233787347,0.4427630618306993,0.9012528513900513,0.6220576346343448,0.6361220960128275,1,6,True,True,3.0,1.0,1.0,5,10,1.1
4.632415559431852,3.8460225983511953,0.4449920210673032,0.9012528513900513,0.6220576346343448,0.6361220960128275,1,7,True,True,3.0,1.0,1.0,5,10,1.3
6.468821642561554,4.564283398281165,0.4725441736405168,0.8914140426974659,0.6599185069403045,0.6440235041505435,1,8,True,True,3.0,1.0,1.0,5,25,0.9
6.0652444516078505,4.388871232099986,0.4676215684538044,0.8914140426974659,0.6599185069403045,0.6440235041505435,1,9,True,True,3.0,1.0,1.0,5,25,1.0
5.720088131941688,4.268227942216451,0.4640332464130365,0.8914140426974659,0.6599185069403045,0.6440235041505435,1,10,True,True,3.0,1.0,1.0,5,25,1.1
5.389346895914327,4.0452400336022825,0.4603641680696645,0.8914140426974659,0.6599185069403045,0.6440235041505435,1,11,True,True,3.0,1.0,1.0,5,25,1.3
4.551904245854848,3.813605663569484,0.49277195489862624,0.9830772982467899,0.713414000353445,0.5670500284701624,1,12,True,True,3.0,2.0,1.0,5,5,0.9
4.645677232451956,3.738317966851888,0.4906436616224454,0.9830772982467899,0.713414000353445,0.5670500284701624,1,13,True,True,3.0,2.0,1.0,5,5,1.0
4.470221499342067,3.7818332724145494,0.4905515713049879,0.9830772982467899,0.713414000353445,0.5670500284701624,1,14,True,True,3.0,2.0,1.0,5,5,1.1
4.682505784788332,4.095159678816792,0.4953986534572199,0.9830772982467899,0.713414000353445,0.5670500284701624,1,15,True,True,3.0,2.0,1.0,5,5,1.3
5.19294167533931,4.0407637827313225,0.44798793537030107,0.9053064746235429,0.6249947246568646,0.6328414604426285,1,16,True,True,3.0,2.0,1.0,5,10,0.9
4.901794209711196,3.9452961415765953,0.44526968837556513,0.9053064746235429,0.6249947246568646,0.6328414604426285,1,17,True,True,3.0,2.0,1.0,5,10,1.0
4.734527908520226,3.912455054378539,0.4442527693889912,0.9053064746235429,0.6249947246568646,0.6328414604426285,1,18,True,True,3.0,2.0,1.0,5,10,1.1
4.673609744319792,3.8817870038980864,0.4462857594311054,0.9053064746235429,0.6249947246568646,0.6328414604426285,1,19,True,True,3.0,2.0,1.0,5,10,1.3
6.574858694346081,4.5608108449727425,0.47340951552676425,0.89641342310444,0.6614593679165278,0.6400194110241186,1,20,True,True,3.0,2.0,1.0,5,25,0.9
6.1938957070862335,4.392755620023715,0.4685608704282178,0.89641342310444,0.6614593679165278,0.6400194110241186,1,21,True,True,3.0,2.0,1.0,5,25,1.0
5.877955601197158,4.309128770938137,0.4650776868267756,0.89641342310444,0.6614593679165278,0.6400194110241186,1,22,True,True,3.0,2.0,1.0,5,25,1.1
5.5793928297742825,4.104688165261621,0.4615905130662147,0.89641342310444,0.6614593679165278,0.6400194110241186,1,23,True,True,3.0,2.0,1.0,5,25,1.3
