Interval_Score_95,Interval_Score_90,CRPS,RMSE,MAE,R2,Outer_Fold,Hyper_Row,SNV,SG,window_length,polyorder,deriv,bin_size,n_components,Factor
40.85823806651899,34.506061002955015,4.524037792788761,8.409479950055362,6.395186563184529,0.8379584131658292,1,0,True,True,3.0,1.0,1.0,5,5,0.9
39.38364299603953,33.7933775163591,4.504935957335947,8.409479950055362,6.395186563184529,0.8379584131658292,1,1,True,True,3.0,1.0,1.0,5,5,1.0
39.060425693754595,33.85297678800807,4.504090613589097,8.409479950055362,6.395186563184529,0.8379584131658292,1,2,True,True,3.0,1.0,1.0,5,5,1.1
40.66379193123383,34.98328386128619,4.544482441014078,8.409479950055362,6.395186563184529,0.8379584131658292,1,3,True,True,3.0,1.0,1.0,5,5,1.3
41.144488322960015,33.71106958045749,3.857042143433557,7.33396423095017,5.324206340437509,0.876756000499225,1,4,True,True,3.0,1.0,1.0,5,10,0.9
38.756244322376666,32.220347113788264,3.8282514329559425,7.33396423095017,5.324206340437509,0.876756000499225,1,5,True,True,3.0,1.0,1.0,5,10,1.0
37.311409872969904,31.472135419390742,3.81369046874382,7.33396423095017,5.324206340437509,0.876756000499225,1,6,True,True,3.0,1.0,1.0,5,10,1.1
36.518700468496135,31.305287009493956,3.8205801845534433,7.33396423095017,5.324206340437509,0.876756000499225,1,7,True,True,3.0,1.0,1.0,5,10,1.3
70.25398662722742,47.54761360358315,4.420511298860716,8.124836462212741,5.830798648358018,0.848742309522457,1,8,True,True,3.0,1.0,1.0,5,25,0.9
64.69171754549083,45.143230817585355,4.370864227006431,8.124836462212741,5.830798648358018,0.848742309522457,1,9,True,True,3.0,1.0,1.0,5,25,1.0
60.765693114929874,43.4353832942195,4.332342569603022,8.124836462212741,5.830798648358018,0.848742309522457,1,10,True,True,3.0,1.0,1.0,5,25,1.1
58.7102573658641,40.74356243412011,4.284869015139394,8.124836462212741,5.830798648358018,0.848742309522457,1,11,True,True,3.0,1.0,1.0,5,25,1.3
40.94610546276327,34.43331545199563,4.518967221647862,8.404170724397572,6.389963553082066,0.8381629546548626,1,12,True,True,3.0,2.0,1.0,5,5,0.9
39.36356563746494,33.7703584066378,4.499753712401436,8.404170724397572,6.389963553082066,0.8381629546548626,1,13,True,True,3.0,2.0,1.0,5,5,1.0
39.1555198591742,33.82187845565846,4.4987487829565795,8.404170724397572,6.389963553082066,0.8381629546548626,1,14,True,True,3.0,2.0,1.0,5,5,1.1
